German,English
Ich,I
ist,is
ich,I
nicht,Not
Sie,you
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,you
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,a
Es,It
hat,Has
Wir,We
Und,And
so,so
sind,are
von,of
dich,you
war,was
haben,to have
für,For
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,yourself
Die,The
nur,just
einen,one
Nein,No
dem,the
ihn,him
auch,also
hast,has
sein,be
ihr,you
da,there
aus,out
kann,can
aber,but
Aber,But
schon,beautiful
wenn,if
wird,becomes
um,around
Wie,How
als,as
bist,are
im,in the
mal,times
doch,but
gut,Well
meine,my
jetzt,now
weiß,White
Wenn,If
werden,become
Der,The
nach,to
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,you
wieder,again
bei,at
hab,hab
machen,do
vor,in front
Mann,man
ihm,him
einem,one
tun,to do
zum,to the
können,can
sagen,say
werde,will
denn,because
Ist,is
Ein,A
Warum,Why
einer,one
gehen,walk
sehen,see
sehr,very
geht,going
alle,all
über,above
müssen,have to
diese,these
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,them
gibt,gives
wirklich,really
Hey,Hey
Danke,thanks
deine,yours
würde,would
soll,should
Da,There
hatte,would have
Hier,Here
wissen,knowledge
bitte,You're welcome
viel,much
Dann,Then
So,So
gesagt,told
Ihr,your
am,at the
kein,no
Komm,come over
Wer,who
zurück,back
wurde,has been
In,In
wollte,wanted
Frau,Mrs
Leben,Life
wäre,would
wo,Where
damit,in order to
Nicht,Not
Gott,God
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,coming
kommen,come
willst,want
Na,N / A
wollen,want
sicher,for sure
ganz,all
Jetzt,Now
Mein,My
Mr,mr
also,so
zur,to
Hast,Has
Gut,Well
hätte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,makes
waren,were
bis,to
Vielleicht,Maybe
könnte,could
Eine,A
Bitte,You're welcome
weg,path
seine,his
lassen,to let
Vater,father
gesehen,seen
Nun,Now
gerade,just
Alles,Everything
glaube,faith
Tag,Day
ab,from
Geld,money
gemacht,made
nein,No
Sir,Sir
sollte,should
sagte,said
keinen,no
durch,by
zwei,two
diesen,this
passiert,happens
wohl,well
vielleicht,maybe
ihre,your
Mutter,mother
reden,talk
anderen,other
dachte,thought
daß,that
möchte,would like to
wirst,will
gehört,belongs
weißt,know
Keine,No
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,here
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,this
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,self
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,exactly
gar,at all
sagt,says
Welt,world
Auf,On
Mädchen,girl
ins,in the
hin,down
vom,from
schön,beautiful
warum,Why
weiter,further
Leid,suffering
gleich,equal
wer,who
Man,you
ohne,without
Menschen,People
deinen,your
leid,suffering
Wieso,How so
dort,There
Als,As
Hause,home
sollten,should
davon,from that
zusammen,together
geben,give
Ok,OK
Hör,Listen
machst,doing
Freund,friend
richtig,correct
Angst,anxiety
Bist,are
Tut,does
Mit,With
viele,lots
sieht,looks
Haus,House
tot,dead
